      0 noerr        1518  1 N
  35121 noerr         0 22  
  35320 noerr        22 22 N     + 24.50398 g  

  35321 noerr         0 22  
  35521 noerr        22 22 N     + 24.50398 g  

  35521 noerr         0 22  
  35720 noerr        22 22 N     + 24.50398 g  

  35721 noerr         0 22  
  35920 noerr        22 22 N     + 24.50398 g  

  35921 noerr         0 22  
  36121 noerr        22 22 N     + 24.50398 g  

  36121 noerr         0 22  
  36320 noerr        22 22 N     + 24.50398 g  

  36321 noerr         0 22  
  36521 noerr        22 22 N     + 24.50398 g  

  36521 noerr         0 22  
  36721 noerr        22 22 N     + 24.50398 g  

  36721 noerr         0 22  
  36920 noerr        22 22 N     + 24.50398 g  

  36921 noerr         0 22  
  37121 noerr        22 22 N     + 24.50398 g  

  37121 noerr         0 22  
  37321 noerr        22 22 N     + 24.50398 g  

  37321 noerr         0 22  
  37521 noerr        22 22 N     + 24.50398 g  

  37521 noerr         0 22  
  37721 noerr        22 22 N     + 24.50398 g  

  37721 noerr         0 22  
  37940 noerr        22 22 N     + 24.50398 g  

  37940 noerr         0 22  
  38121 noerr        22 22 N     + 24.50398 g  

  38121 noerr         0 22  
  38321 noerr        22 22 N     + 24.50398 g  

  38321 noerr         0 22  
  38521 noerr        22 22 N     + 24.50398 g  

  38521 noerr         0 22  
  38720 noerr        22 22 N     + 24.50398 g  

  38721 noerr         0 22  
  38921 noerr        22 22 N     + 24.50398 g  

  38921 noerr         0 22  
  39121 noerr        22 22 N     + 24.50398 g  

  39121 noerr         0 22  
  39321 noerr        22 22 N     + 24.50398 g  

  39321 noerr         0 22  
  39520 noerr        22 22 N     + 24.50398 g  

  39521 noerr         0 22  
  39720 noerr        22 22 N     + 24.50398 g  

  39721 noerr         0 22  
  39921 noerr        22 22 N     + 24.50398 g  

  39921 noerr         0 22  
  40121 noerr        22 22 N     + 24.50398 g  

  40121 noerr         0 22  
  40320 noerr        22 22 N     + 24.50398 g  

  40321 noerr         0 22  
  40520 noerr        22 22 N     + 24.50398 g  

  40521 noerr         0 22  
  40720 noerr        22 22 N     + 24.50398 g  

  40721 noerr         0 22  
  40920 noerr        22 22 N     + 24.50398 g  

  40921 noerr         0 22  
  41120 noerr        22 22 N     + 24.50398 g  

  41121 noerr         0 22  
  41320 noerr        22 22 N     + 24.50398 g  

  41321 noerr         0 22  
  41521 noerr        22 22 N     + 24.50398 g  

  41521 noerr         0 22  
  41721 noerr        22 22 N     + 24.50398 g  

  41721 noerr         0 22  
  41921 noerr        22 22 N     + 24.50398 g  

  41921 noerr         0 22  
  42121 noerr        22 22 N     + 24.50398 g  

  42121 noerr         0 22  
  42321 noerr        22 22 N     + 24.50398 g  

  42321 noerr         0 22  
  42521 noerr        22 22 N     + 24.50398 g  

  42521 noerr         0 22  
  42720 noerr        22 22 N     + 24.50398 g  

  42721 noerr         0 22  
  42921 noerr        22 22 N     + 24.50398 g  

  42921 noerr         0 22  
  43120 noerr        22 22 N     + 24.50398 g  

  43121 noerr         0 22  
  43321 noerr        22 22 N     + 24.50398 g  

  43321 noerr         0 22  
  43521 noerr        22 22 N     + 24.50398 g  

  43521 noerr         0 22  
